id;last_update_long;last_update_time;temp_c;temp_f;is_day;wind_mph;wind_kph;wind_degree;wind_direction;pressure_mb;pressure_in;precip_mm;precip_in;humidity;cloud;feelslike_c;feelslike_f;uv;gust_mph;gust_kph
1;27963;monitoring leverage;25121;72155;false;17664;43673;92034;Electronics;12045;74427;43566;31128;56659;20918;37963;11411;62165;49866;84865
2;55831;hacking;85773;49002;true;34238;21542;22789;RSS up;81668;93653;73356;18209;42497;5171;3826;76592;47419;23199;56391
3;87402;Steel Plastic compressing;76038;27375;false;34922;83649;12973;Lead Gibraltar;39622;3474;18451;65851;29559;60870;76634;59880;94744;4597;50198
4;73210;Central circuit;24904;25050;false;87479;90622;79364;Tactics Quality;61132;99139;68393;4449;73180;10819;69682;38603;87062;29287;62329
5;66440;services Kip reintermediate;33774;51255;true;88530;64262;65198;Loan task-force;61251;28391;71159;48120;80972;48775;55001;77708;18983;87711;86759
6;59207;Chips Ecuador;24773;85906;true;75324;48669;99160;Kids Manat functionalities;71105;72330;7949;438;43470;36144;39905;5831;52457;28545;13132
7;44454;human-resource Devolved AGP;6639;74448;false;12404;25753;69131;Fresh markets Mayotte;12491;21084;40357;25872;82052;4453;50326;68423;62918;16572;31487
8;51378;Tasty Dakota Investment;70053;15397;true;2251;51112;37606;Estate deposit;78137;89854;75855;18649;81015;29246;26460;1387;35941;78696;51034
9;27572;copying;56868;92402;false;68031;23606;38196;Sports Robust;33553;37590;22133;92670;41183;83266;32195;78632;86681;16446;36543
10;41953;PNG Borders;37541;71401;true;5224;67554;49133;Focused Credit parsing;58086;67410;42896;89508;57475;32943;97489;48662;50074;38302;26222
