id;name;country;lat;lon;time_zone
1;Secured Program;Slovakia (Slovak Republic);53804;76819;program Ghana
2;magnetic;Mozambique;13018;77856;Colombia virtual
3;International generating;Burkina Faso;91454;91167;Sports explicit Legacy
4;port virtual;Iran;60382;15321;parse
5;Rustic;Faroe Islands;84003;26331;Investor
6;leading-edge;Tanzania;87260;57997;Diverse
7;Fuerte Sports;Saudi Arabia;68807;91503;Frozen Venezuela Plastic
8;transmitting;Hong Kong;78996;24366;e-services
9;Monaco Business-focused RAM;Guinea-Bissau;96594;54910;Austria
10;Generic;Virgin Islands, British;14705;78080;impactful Pataca turn-key
